化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点
AlCoCrFeNi ,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
AlCoCrFeMo0.05Ni2,-11.94453931,13.2671945,361.0007326,0.124400344,5.422491548,7.652892562,6,7.083622569,1389.938697
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
AlNbTiV,-16.25,11.53,510.3391989,0.03,3.3,4.25,4,5.5,1951.87
AlCrFeCoNi,-12.32,13.38,354.1129114,0.12,5.78,7.2,5,6.73,1364.02
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
Co10Cr25Fe20Mn5Ni40,-4.76,11.76515168,401.9300538,0.116510729,1.823651253,8.35,5,8.161002668,1538.595698
Al25Ti25Ni25Cu25,-23.25,11.52629192,317.4058316,0.166883193,6.924399486,7,4,5.758848377,1214
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
Al7.5CoCrNi,-14.27664399,7.584109888,246.5697241,0.11075089,6.003747224,4.523809524,4,3.899333313,929.047619
TiZrNbMoV1.5,-2.710743802,13.2546386,544.6716846,0.262054817,7.005904617,4.818181818,5,7.057851752,2096.955235
CoCrMnNi,-5.5,11.52629192,395.4734835,0.150499169,3.446992938,8,4,8.065458132,1512.5
Al0.3NbTaTi1.4Zr1.3,-5.040562466,12.82599837,581.4433955,0.10130303,4.754310304,4.395348837,5,8.546797305,2234.844498
Cr20Fe6Co34Ni34Mo6,-4.2928,11.58277271,419.0245945,0.120166551,2.18471415,8.5,5,8.587067955,1602.912293
Al0.5CoCrCuFeNi,-1.52,14.7,437.30038,0.11,3.82,8.27,6,7.62,1693
CoMnNi,-5.777777778,9.134370237,368.7904174,0.163095064,3.73468262,8.666666667,3,8.372634415,1397.666667
Al80Li5Mg5Zn5Cu5,-1.14,6.47,244.7080489,0.17,3.85,3.7,5,2.91,918.13
Ta10Nb30Ti30Zr30,2.64,10.92382327,548.6853236,0.109859001,4.991703425,4.4,4,7.491418361,2093.6
NbTiVZr,-0.25,11.53,588.437985,0.12,6.03,4.5,4,6.46,2250.5
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
AlCoCrFeNiTi0.5,-17.92,14.7,441.016415,0.13,6.12,6.91,6,6.44,1707.45
HfMoNbTaTiZr,1.888888889,12.41459683,594.7083332,0.246152806,19.05954827,3.666666667,6,9.910915715,2282.194003
AlCr0.5NbTiV,-15.40740741,13.14594406,428.7017339,0.037646832,5.232513176,4.444444444,5,5.64713986,1649.838175
(Fe40Mn40Co10Cr10)98C2.2,-2.716658499,10.58348832,354.3184719,0.189878646,7.100593467,7.912175649,5,7.799244898,1350.224444
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
AlNbTiVZr,-17.44,13.38,515.8708658,0.11,5.53,4.2,5,5.76,1987.09
Co10Cr10Fe50Mn30,-0.92,9.713640154,388.6624044,0.132075736,3.833181374,7.6,4,7.760129907,1476.2
NbTiV4Zr,-1.632653061,9.592743656,509.5032603,0.102678416,7.369032927,4.714285714,4,6.338674258,1934.285714
CrMnFeVCu0.20,2.675736961,12.56917544,400.6190634,0.111239155,3.466126823,6.714285714,5,7.19336934,1538.283298
Al85Mg10.5Zn2.025Cu2.025Si0.45,-1.096988712,4.559688538,175.5644454,0.103345495,4.151515189,3.25,4,2.758612773,654.0207819
AlCoCrFeNi,-12.32,13.38,437.2111258,0.12,5.25,7.2,5,6.72,1684.09
Al0.5NbTa0.8Ti1.5V0.2Zr,-8.62,13.78,587.1169034,0.1,4.23,4.3,6,7.56,2264.97
Al25Ti25Ni25Cu25,-23.25,11.52629192,317.4058316,0.166883193,6.924399486,7,4,5.758848377,1214
Fe36Ni18Mn33Al13Ti4,-11.8635355,11.80885555,342.0813631,0.149505967,5.723897154,7.25,5,6.861238055,1309.742822
Al10Co25Cr8Fe15Ni36Ti6,-13.9748,13.30361728,369.6710207,0.122434105,5.655462385,8.07,6,7.388644866,1423.527704
MoNbTaW,-6.5,11.53,825.6503925,0.36,2.27,5.5,4,13.64,3157.75
Hf0.5Mo0.5NbTiZrC0.3,-17.22011898,14.16626487,546.3815775,0.356784662,13.92424922,4.465116279,6,7.704334843,2111.003024
Al17Co17Cr17Fe17Ni17Fe15,-10.4312,13.04996086,361.1366748,0.112695874,5.485776742,7.32,5,6.888932523,1389.294294
Al10Co30Cr20Fe35Ni5,-7.14,11.89,383.4209221,0.1,4.41,7.5,5,7.35,1468.48
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
(FeCoNi)86-Al7Ti7,-13.91608889,12.02945239,392.7831402,0.133739693,5.411474587,7.656666667,5,7.379340731,1505.139411
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
VCrFeTa0.2W0.2,-5.148788927,11.74934157,530.1557462,0.183776229,4.168428293,6.235294118,5,8.666826103,2029.318885
AlCoCrFeNi2.1,-11.94,12.91,359.2352497,0.12,5.38,7.7,5,7.08,1381.25
CoCrMoNbTi0.2,-12.33560091,12.56917544,546.2139225,0.222844933,6.049819476,6.380952381,5,8.547804774,2097.394804
HfNbTaZr,3.5,11.53,697.736195,0.12,3.95,4.5,4,11.06,2668.5
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548
Hf0.75NbTa0.5Ti1.5Zr1.25,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
MoNb1.5HfZrTi,-3.041322314,13.2546386,564.8540131,0.295176093,5.94173945,4.636363636,5,8.690997848,2174.656946
HfMoNbTiZr,-1.6,13.38,634.561604,0.31,5.06,4.6,5,8.7,2444.2
Al0.5CoCrCuFeNi,-1.52,14.7,437.30038,0.11,3.82,8.27,6,7.62,1693
AlCrNbTiV,-14.56,13.38161053,432.9526956,0.039698866,5.90234915,4.6,5,5.765972232,1667.706423
Al0.5CoCrFeNi,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
Hf0.75NbTa0.5Ti1.5Zr1.25,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
Al0.3CoCrFeNi,-7.27,12.83,469.9351993,0.11,3.49,7.88,5,7.64,1806.29
Ti30Zr10Hf10Ni30Co10Cu10,-31.88,13.66413435,421.4026651,0.239298976,9.961332928,7,6,7.691658339,1625.053072
CrNbTiZr,-5,11.53,588.2371325,0.12,7.84,4.75,4,6.64,2249.75
Al9.5Co25Cr8Fe15Ni36Ti6Hf0.5,-14.2653,13.46867203,366.4755972,0.126940685,5.828183,8.075,7,7.474871348,1412.121864
AlCoCrFeNiTi0.5,-17.92,14.7,441.016415,0.13,6.12,6.91,6,6.44,1707.45
HfNbTaZr,3.5,11.53,697.736195,0.12,3.95,4.5,4,11.06,2668.5
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
Fe36Ni18Mn33Al13C1.26,-12.0861034,11.29290282,340.7477765,0.173422991,7.007133,7.337941932,5,6.9501179,1302.065806
CoFeNi2V0.5Mo0.2,-6.826618379,11.59727816,407.9007294,0.103645634,2.462154283,8.659574468,5,8.400470171,1560.456422
CoCrFeNiMo0.2,-4.04,12.57,500.1569836,0.12,2.51,8.14,5,8.31,1920.52
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
Cr20Fe6Co34Ni34Mo6,-4.2928,11.58277271,419.0245945,0.120166551,2.18471415,8.5,5,8.587067955,1602.912293
CoFeNi,-1.33,9.13,466.7847,0.03,0.75,9,3,8.54,1769
Fe33Ni17Mn38Al12,-9.5192,10.71904514,342.4926885,0.149931184,5.218919898,7.36,4,7.029321233,1305.86
V10Cr10Fe45Co10Ni25,-5.82,11.61262282,407.5763649,0.092714616,1.739286365,8.1,5,7.929630605,1559.303243
Al0.5Cr0.9FeNi2.5V0.2,-10.99730873,11.05609168,379.6347552,0.118924761,4.444703117,8.019607843,5,7.428940236,1449.33988
Ni1.5Co1.5CrFeTi0.5,-10.74380165,12.85913616,403.8715312,0.121865662,4.885035952,8.090909091,5,7.817928465,1552.552218
NbCrMo0.5Ta0.5TiZr,-4.92,14.53,625.078928,0.22,7.13,4.9,6,7.99,2418.4
CoCrCuFeNi,3.2,13.38,459.257999,0.09,1.07,8.8,5,8.33,1768.95
Fe28Ni18Mn33Al21,-13.4844,11.29676653,324.7052707,0.14752071,5.708363976,6.98,4,6.482580111,1240.79
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
