nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
3,1.2033333333333334,1.158,0.2659991645768,0.2693993318477238,0.6,0.254,1.0726379371044257,1.059315113282988,68.87433333333334,64.06800000000001,41.259447470313454,43.63720162888541,92.095,36.83800000000001,0.8609410359877868,0.8251847112686018,5.666666666666667,5.8,2.494438257849294,2.712931993250108,6,2.6,1.0027399543973452,0.9250738293082053,1.9733333333333327,2.048,0.2815828277592382,0.2483867951401603,0.6799999999999997,0.5919999999999999,1.088210870385281,1.0169390529306344,7.505266666666666,7.654539999999999,0.6291897452720886,0.5842606562143305,1.5391000000000004,1.9674200000000004,1.0951029668619998,1.0357665575692774,3,4.0,0.689655172413793,2.8
3,1.2066666666666666,1.162,0.2678722747048592,0.2722792683991934,0.6,0.258,1.0723856012335409,1.0582879048263274,98.64466666666668,99.7924,74.16977565169132,81.20026473749947,181.406,72.56240000000001,0.7648993245783754,0.6499117726169681,5.666666666666667,5.8,2.494438257849294,2.712931993250108,6,2.6,1.0027399543973452,0.9250738293082053,1.9466666666666668,2.016,0.2536839678725393,0.2199636333578803,0.6000000000000001,0.56,1.0898969599187205,1.0200828757784115,8.007966666666666,8.25778,0.9244875709758836,0.8069526092652533,2.208100000000001,2.2350200000000005,1.0918121016235227,1.0248035815219207,4,3.6,0.3157894736842105,3.6
2,1.215,1.086666666666667,0.385,0.3629814810090944,0.7700000000000001,0.0199999999999999,0.6420672833219068,0.6929778006777552,17.558,15.309,6.747,6.361132603554181,13.494,0.8943333333333339,0.6173820332112447,0.6914398308502955,2.5,2.6666666666666665,0.5,0.4714045207910317,1,1.3333333333333337,0.6730116670092565,0.5623351446188083,1.675,1.7966666666666669,0.365,0.3441253001774531,0.73,0.9233333333333332,0.6692131345606754,0.5545618482814483,7.9721,8.080733333333333,0.3258999999999998,0.3072614666515943,0.6517999999999997,2.9832666666666667,0.6923113576367339,0.6233600784520256,1,0.0,0.0,0.0
2,1.235,1.17,0.1949999999999999,0.1838477631085023,0.3899999999999999,0.2166666666666667,0.6806294878916634,0.6759010305740114,106.5065,81.69266666666667,74.4415,70.18411926893117,148.883,38.93933333333334,0.4236285696783975,0.5747983082009487,5.5,5.666666666666667,0.5,0.4714045207910317,1,2.333333333333333,0.6890092384766586,0.605797499372304,2.04,2.22,0.54,0.5091168824543143,1.08,1.22,0.6576915199330449,0.5334422454609226,8.954799999999999,9.4232,1.4051999999999998,1.3248352652311153,2.8104,4.390133333333333,0.6807839791440013,0.580309837561809,3,1.0,0.0967741935483871,4.666666666666667
2,1.295,1.2433333333333332,0.155,0.1461354014452198,0.31,0.2766666666666666,0.6859669969583957,0.6681811111918161,63.4135,68.59566666666666,15.546499999999998,14.657380764955546,31.093,36.68433333333333,0.6627867703208181,0.5424043900316283,5.0,5.333333333333333,1.0,0.9428090415820634,2,2.666666666666667,0.6730116670092565,0.5623351446188083,2.045,2.2133333333333334,0.5049999999999999,0.4761185659989418,1.0099999999999998,1.1866666666666663,0.6623388607198248,0.5415951451269333,8.29025,8.777633333333334,1.4621499999999998,1.3785282401492138,2.9243,4.2255666666666665,0.6775123678163624,0.5723226291611632,1,7.333333333333334,0.6111111111111112,2.6666666666666665
3,1.3266666666666664,1.2799999999999998,0.1322455628325158,0.1401784576887619,0.29,0.2174999999999999,1.0935159505420735,1.0716200741174355,96.85866666666666,92.384,16.466801052083216,16.230667823598633,39.75,16.253499999999995,1.084344332008992,1.0752177604706492,5.0,5.25,0.816496580927726,0.82915619758885,2,2.0,1.0851886129676505,0.9773202089564674,2.036666666666666,2.165,0.3916063783387031,0.4054935264588079,0.9499999999999996,0.8749999999999999,1.0803007436855194,0.960088426157166,7.951733333333333,8.4019,1.2954681478995236,1.3662460887409706,2.9935,3.186475,1.0856932995372883,0.9706778105425256,2,8.5,0.6666666666666666,1.5
1,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,26.982,26.982,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0,0.0,5.9858,5.9858,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,207.2,207.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,2.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,7.4167,7.4167,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,0.3571428571428571,0.0
1,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,200.59,200.59,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4375,10.4375,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,0.3846153846153846,0.0
3,1.7766666666666666,1.4900000000000002,0.6177557949725944,0.4105281151557506,1.3299999999999998,0.4611111111111112,1.0415996190479215,1.024965414005894,101.869,99.39233333333334,36.2971280131087,34.42700133454682,81.963,52.87722222222222,1.0274080989727457,0.8470594720969331,3.666666666666667,4.555555555555555,1.8856180831641267,1.257078722109418,4,2.6666666666666665,0.9347698978582792,0.760092831625328,1.4899999999999998,1.77,0.5238320341483517,0.3959797974644665,1.2599999999999998,1.051111111111111,1.0316755771644175,0.7952131507387186,6.416166666666667,7.463833333333333,1.9387829624678352,1.5216796669762294,4.714499999999999,4.349788888888889,1.0506143216307593,0.8117425411837788,3,6.555555555555555,0.6483516483516484,2.333333333333333
